P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
12.665625 -827.5338325414153 NaN -833.7945466691182 -839.7446705158517 -827.2717116701423 -834.6883897461258 NaN NaN -839.6881877555436 -838.4203912449132 -835.3595725165877 -833.9583961022764 -834.9914254940905 -829.0738203413254 NaN NaN -830.8209024895334 -837.1121077061802 NaN NaN NaN -834.3479601179656 NaN -837.3003323436592 -839.4105169405731 -834.6115366487818 -839.9012373148694 -820.7228714628187
12.9189375 -826.362527284066 NaN -832.6896913161298 -838.6900534078693 -826.3372883098792 -833.6938562183951 NaN NaN -838.6302021211079 -837.4077832145568 -834.3274610693659 -832.9071320407909 -833.9635609942505 -827.972733999146 NaN NaN -829.8788141677746 -836.1114732956032 NaN NaN NaN -833.345613107991 NaN -836.3122194365629 -838.417051401418 -833.6113228873172 -838.8329352789863 -819.4871730597172
13.17225 -825.1925367858563 NaN -831.5860287750019 -837.6364167361065 -825.4038151667479 -832.7005293095447 NaN NaN -837.5732113695517 -836.3960902557997 -833.2963980943516 -831.8568574256835 -832.9367031920827 -826.8732572775583 NaN NaN -828.9374872387931 -835.1117767900557 NaN NaN NaN -832.3441561668269 NaN -835.3250231999858 -837.4244252306416 -832.6119909321893 -837.7656121119041 -818.25330310618
13.4255625 -824.023992724627 NaN -830.4835617937947 -836.5837629746608 -824.4712720288177 -831.7083996900603 NaN NaN -836.5172288787311 -835.3853008201129 -832.2663729218364 -830.8075582280155 -831.9108363832976 -825.7753513443826 NaN NaN -827.996912925387 -834.1130217376204 NaN NaN NaN -831.3435835497398 NaN -834.338729153752 -836.4326321171137 -831.6135325192994 -836.6992486817921 -817.0212864186979
13.678875 -822.8571980839345 NaN -829.3823500844683 -835.5320931666571 -823.5396391804771 -830.7174364786978 NaN NaN -835.4622552272758 -834.3753948883012 -831.2373696121547 -829.7592420857446 -830.8859569600739 -824.6789873942336 NaN NaN -827.0570996430168 -833.1152110830034 NaN NaN NaN -830.3439032051796 NaN -833.3533201466101 -835.4416867321142 -830.6159385102701 -835.6338083578016 -815.79117940607
13.9321875 -821.6921800272617 NaN -828.2823901901324 -834.4813994823963 -822.6089093685404 -829.7276031638587 NaN NaN -834.4082766514612 -833.3663793396408 -830.2093845978491 -828.7119220894273 -829.8620709317416 -823.5841694875637 NaN NaN -826.1180497194869 -832.1183394279229 NaN NaN NaN -829.3451124586321 NaN -832.3687785512748 -834.451584816367 -829.6191997907968 -834.5692866785038 -814.563026999776
14.1855 -820.5286993861804 NaN -827.1836140776144 -833.4316731618895 -821.6790777478144 -828.7388503422144 NaN NaN -833.355279385411 -832.3582554387897 -829.1824167210474 -827.6656011079517 -828.8391841947805 -822.4908923533733 NaN NaN -825.1797652248733 -831.1223837622275 NaN NaN NaN -828.3472079958281 NaN -831.3851044443782 -833.4623193662507 -828.6233143597821 -833.5057083597193 -813.3368693570699
14.4388125 -819.3665216166737 NaN -826.0860227114528 -832.3829002156956 -820.750137494633 -827.7511830181271 NaN NaN -832.3032559808531 -831.3510156557048 -828.1564733666622 -826.6202693132152 -827.8172855595452 -821.3991394976218 NaN NaN -824.2422392329077 -830.1273340676519 NaN NaN NaN -827.3501827172197 NaN -830.4023141950195 -832.4738789626899 -827.6282887794315 -832.4430703736373 -812.1127253048189
14.692124999999999 -818.2058576090948 NaN -824.9896679450054 -831.3350875335651 -819.8220882042871 -826.7646315891103 NaN NaN -831.2522042444647 -830.3446524160589 -827.1315518277537 -825.5759168585649 -826.7963533722392 -820.3088944135682 NaN NaN -823.3054436023401 -829.1331952137404 NaN NaN NaN -826.3540218059493 NaN -829.4204244306783 -831.4862310556219 -826.6341287158886 -831.3813539288597 -810.8906039247303
14.945437499999999 -817.0468430673578 NaN -823.8945494075742 -830.2882450147066 -818.894931190442 -825.7791762437411 NaN NaN -830.2021207237171 -829.3391608532777 -826.10761807997 -824.5325342920503 -825.7763760919873 -819.2201513128646 NaN NaN -822.369373232747 -828.1399616193431 NaN NaN NaN -825.3587183776538 NaN -828.4394292596825 -830.499359545437 -825.6408230050246 -830.3205414467963 -809.6705079242091
